event_id,timestamp,person_id,role,zone,event_type,authorized
AE-00338,2026-01-10T04:04:00,P034,supervisor,Main Entrance,EXIT,YES
AE-00278,2026-01-10T04:05:00,P028,technician,Server Room,EXIT,YES
AE-00318,2026-01-10T04:06:00,P032,supervisor,Production Area,EXIT,YES
AE-00138,2026-01-10T04:07:00,P014,operator,General Warehouse,EXIT,YES
AE-00178,2026-01-10T04:07:00,P018,operator,Cafeteria,EXIT,YES
AE-00158,2026-01-10T04:08:00,P016,operator,General Warehouse,EXIT,YES
AE-00378,2026-01-10T04:09:00,P038,supervisor,R&D Lab,EXIT,YES
AE-00398,2026-01-10T04:09:00,P040,manager,Production Area,EXIT,YES
AE-00038,2026-01-10T04:10:00,P004,operator,Production Area,EXIT,YES
AE-00389,2026-01-10T12:00:00,P039,manager,Production Area,ENTRY,YES
AE-00289,2026-01-10T12:01:00,P029,technician,R&D Lab,ENTRY,YES
AE-00249,2026-01-10T12:02:00,P025,technician,General Warehouse,ENTRY,YES
AE-00349,2026-01-10T12:02:00,P035,supervisor,Chemical Storage,ENTRY,YES
AE-00009,2026-01-10T12:04:00,P001,operator,Production Area,ENTRY,YES
AE-00129,2026-01-10T12:05:00,P013,operator,General Warehouse,ENTRY,YES
AE-00169,2026-01-10T12:05:00,P017,operator,Cafeteria,ENTRY,YES
AE-00209,2026-01-10T12:05:00,P021,technician,Production Area,ENTRY,YES
AE-00409,2026-01-10T12:05:00,P041,manager,Main Entrance,ENTRY,YES
AE-00029,2026-01-10T12:09:00,P003,operator,Production Area,ENTRY,YES
AE-00229,2026-01-10T12:10:00,P023,technician,Production Area,ENTRY,YES
AE-00269,2026-01-10T12:10:00,P027,technician,Server Room,ENTRY,YES
AE-00429,2026-01-10T12:10:00,P043,security,Server Room,ENTRY,YES
AE-00049,2026-01-10T12:11:00,P005,operator,Production Area,ENTRY,YES
AE-00069,2026-01-10T12:11:00,P007,operator,Production Area,ENTRY,YES
AE-00089,2026-01-10T12:11:00,P009,operator,Production Area,ENTRY,YES
AE-00149,2026-01-10T12:13:00,P015,operator,General Warehouse,ENTRY,YES
AE-00189,2026-01-10T12:13:00,P019,operator,Cafeteria,ENTRY,YES
AE-00109,2026-01-10T12:14:00,P011,operator,Production Area,ENTRY,YES
AE-00309,2026-01-10T12:14:00,P031,supervisor,Production Area,ENTRY,YES
AE-00369,2026-01-10T12:14:00,P037,supervisor,R&D Lab,ENTRY,YES
AE-00329,2026-01-10T12:15:00,P033,supervisor,Main Entrance,ENTRY,YES
AE-00448,2026-01-10T13:15:00,P017,operator,Server Room,ENTRY,NO
AE-00050,2026-01-10T19:55:00,P005,operator,Production Area,EXIT,YES
AE-00190,2026-01-10T19:56:00,P019,operator,Cafeteria,EXIT,YES
AE-00010,2026-01-10T19:57:00,P001,operator,Production Area,EXIT,YES
AE-00250,2026-01-10T19:57:00,P025,technician,General Warehouse,EXIT,YES
AE-00170,2026-01-10T19:58:00,P017,operator,Cafeteria,EXIT,YES
AE-00230,2026-01-10T19:58:00,P023,technician,Production Area,EXIT,YES
AE-00350,2026-01-10T19:58:00,P035,supervisor,Chemical Storage,EXIT,YES
AE-00150,2026-01-10T20:00:00,P015,operator,General Warehouse,EXIT,YES
AE-00330,2026-01-10T20:00:00,P033,supervisor,Main Entrance,EXIT,YES
AE-00019,2026-01-10T20:01:00,P002,operator,Production Area,ENTRY,YES
AE-00059,2026-01-10T20:01:00,P006,operator,Production Area,ENTRY,YES
AE-00199,2026-01-10T20:01:00,P020,operator,Cafeteria,ENTRY,YES
AE-00299,2026-01-10T20:01:00,P030,technician,R&D Lab,ENTRY,YES
AE-00419,2026-01-10T20:01:00,P042,manager,Main Entrance,ENTRY,YES
AE-00039,2026-01-10T20:02:00,P004,operator,Production Area,ENTRY,YES
AE-00310,2026-01-10T20:02:00,P031,supervisor,Production Area,EXIT,YES
AE-00379,2026-01-10T20:02:00,P038,supervisor,R&D Lab,ENTRY,YES
AE-00390,2026-01-10T20:02:00,P039,manager,Production Area,EXIT,YES
AE-00339,2026-01-10T20:03:00,P034,supervisor,Main Entrance,ENTRY,YES
AE-00430,2026-01-10T20:03:00,P043,security,Server Room,EXIT,YES
AE-00219,2026-01-10T20:04:00,P022,technician,Production Area,ENTRY,YES
AE-00270,2026-01-10T20:04:00,P027,technician,Server Room,EXIT,YES
AE-00030,2026-01-10T20:05:00,P003,operator,Production Area,EXIT,YES
AE-00130,2026-01-10T20:05:00,P013,operator,General Warehouse,EXIT,YES
AE-00070,2026-01-10T20:07:00,P007,operator,Production Area,EXIT,YES
AE-00259,2026-01-10T20:07:00,P026,technician,General Warehouse,ENTRY,YES
AE-00279,2026-01-10T20:07:00,P028,technician,Server Room,ENTRY,YES
AE-00319,2026-01-10T20:07:00,P032,supervisor,Production Area,ENTRY,YES
AE-00410,2026-01-10T20:07:00,P041,manager,Main Entrance,EXIT,YES
AE-00079,2026-01-10T20:08:00,P008,operator,Production Area,ENTRY,YES
AE-00290,2026-01-10T20:08:00,P029,technician,R&D Lab,EXIT,YES
AE-00370,2026-01-10T20:08:00,P037,supervisor,R&D Lab,EXIT,YES
AE-00110,2026-01-10T20:09:00,P011,operator,Production Area,EXIT,YES
AE-00179,2026-01-10T20:09:00,P018,operator,Cafeteria,ENTRY,YES
AE-00090,2026-01-10T20:10:00,P009,operator,Production Area,EXIT,YES
AE-00139,2026-01-10T20:10:00,P014,operator,General Warehouse,ENTRY,YES
AE-00210,2026-01-10T20:10:00,P021,technician,Production Area,EXIT,YES
AE-00399,2026-01-10T20:10:00,P040,manager,Production Area,ENTRY,YES
AE-00119,2026-01-10T20:11:00,P012,operator,Production Area,ENTRY,YES
AE-00159,2026-01-10T20:12:00,P016,operator,General Warehouse,ENTRY,YES
AE-00359,2026-01-10T20:12:00,P036,supervisor,Chemical Storage,ENTRY,YES
AE-00439,2026-01-10T20:13:00,P044,security,Server Room,ENTRY,YES
AE-00099,2026-01-10T20:15:00,P010,operator,Production Area,ENTRY,YES
AE-00239,2026-01-10T20:15:00,P024,technician,Production Area,ENTRY,YES
AE-00320,2026-01-11T03:56:00,P032,supervisor,Production Area,EXIT,YES
AE-00200,2026-01-11T03:57:00,P020,operator,Cafeteria,EXIT,YES
AE-00260,2026-01-11T03:57:00,P026,technician,General Warehouse,EXIT,YES
AE-00120,2026-01-11T03:59:00,P012,operator,Production Area,EXIT,YES
AE-00400,2026-01-11T03:59:00,P040,manager,Production Area,EXIT,YES
AE-00180,2026-01-11T04:00:00,P018,operator,Cafeteria,EXIT,YES
AE-00340,2026-01-11T04:02:00,P034,supervisor,Main Entrance,EXIT,YES
AE-00280,2026-01-11T04:03:00,P028,technician,Server Room,EXIT,YES
AE-00380,2026-01-11T04:03:00,P038,supervisor,R&D Lab,EXIT,YES
AE-00220,2026-01-11T04:04:00,P022,technician,Production Area,EXIT,YES
AE-00300,2026-01-11T04:05:00,P030,technician,R&D Lab,EXIT,YES
AE-00060,2026-01-11T04:06:00,P006,operator,Production Area,EXIT,YES
AE-00080,2026-01-11T04:06:00,P008,operator,Production Area,EXIT,YES
AE-00440,2026-01-11T04:06:00,P044,security,Server Room,EXIT,YES
AE-00040,2026-01-11T04:07:00,P004,operator,Production Area,EXIT,YES
AE-00360,2026-01-11T04:07:00,P036,supervisor,Chemical Storage,EXIT,YES
AE-00020,2026-01-11T04:08:00,P002,operator,Production Area,EXIT,YES
AE-00100,2026-01-11T04:08:00,P010,operator,Production Area,EXIT,YES
AE-00140,2026-01-11T04:08:00,P014,operator,General Warehouse,EXIT,YES
AE-00160,2026-01-11T04:08:00,P016,operator,General Warehouse,EXIT,YES
AE-00240,2026-01-11T04:09:00,P024,technician,Production Area,EXIT,YES
AE-00420,2026-01-11T04:09:00,P042,manager,Main Entrance,EXIT,YES
