ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,anomalyType,duration,nominalTolerance,nominalValue,ontologyClass
SRV01_SERVERROOM_HUM_CRIT_HI,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,>,Inspect and notify maintenance,CRITICAL,70,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
WRH01_WAREHOUSE_TMP_CRIT_LO,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,<,Activate backup refrigeration; notify,CRITICAL,,,,-1,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
WRH01_WAREHOUSE_TMP_WARN_LO,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,<,Activate backup refrigeration; notify,WARNING,,,0.5,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
WRH01_WAREHOUSE_TMP_NOMINAL,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,±,N/A (Nominal Range),NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.5,4,
WRH01_WAREHOUSE_TMP_WARN_HI,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,>,Activate backup refrigeration; notify,WARNING,,8,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
WRH01_WAREHOUSE_TMP_CRIT_HI,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,>,Activate backup refrigeration; notify,CRITICAL,12,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
WRH01_WAREHOUSE_HUM_CRIT_LO,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,<,Inspect and notify maintenance,CRITICAL,,,,55,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
WRH01_WAREHOUSE_HUM_WARN_LO,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,<,Inspect and notify maintenance,WARNING,,,60,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
WRH01_WAREHOUSE_HUM_NOMINAL,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,±,N/A (Nominal Range),NOMINAL,,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,1.5,75,
WRH01_WAREHOUSE_HUM_WARN_HI,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,>,Inspect and notify maintenance,WARNING,,85,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
WRH01_WAREHOUSE_HUM_CRIT_HI,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,>,Inspect and notify maintenance,CRITICAL,90,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CHM01_CHEMICALSTORAGE_TMP_CRIT_LO,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,<,Activate emergency ventilation; notify safety officer,CRITICAL,,,,5,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CHM01_CHEMICALSTORAGE_TMP_WARN_LO,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,<,Activate emergency ventilation; notify safety officer,WARNING,,,10,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CHM01_CHEMICALSTORAGE_TMP_NOMINAL,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,±,N/A (Nominal Range),NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.3,15,
CHM01_CHEMICALSTORAGE_TMP_WARN_HI,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,>,Activate emergency ventilation; notify safety officer,WARNING,,20,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CHM01_CHEMICALSTORAGE_TMP_CRIT_HI,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,>,Activate emergency ventilation; notify safety officer,CRITICAL,25,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CHM01_CHEMICALSTORAGE_HUM_CRIT_LO,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,<,Activate desiccant system; inspect storage containers,CRITICAL,,,,15,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CHM01_CHEMICALSTORAGE_HUM_WARN_LO,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,<,Activate desiccant system; inspect storage containers,WARNING,,,20,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CHM01_CHEMICALSTORAGE_HUM_NOMINAL,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,±,N/A (Nominal Range),NOMINAL,,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,1.0,35,
CHM01_CHEMICALSTORAGE_HUM_WARN_HI,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,>,Activate desiccant system; inspect storage containers,WARNING,,50,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CHM01_CHEMICALSTORAGE_HUM_CRIT_HI,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,>,Activate desiccant system; inspect storage containers,CRITICAL,60,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RND01_RDLAB_TMP_CRIT_LO,ThresholdRule,RND01_RDLAB,TMP,Temperature,<,Inspect and notify maintenance,CRITICAL,,,,15,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RND01_RDLAB_TMP_WARN_LO,ThresholdRule,RND01_RDLAB,TMP,Temperature,<,Inspect and notify maintenance,WARNING,,,18,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RND01_RDLAB_TMP_NOMINAL,ThresholdRule,RND01_RDLAB,TMP,Temperature,±,N/A (Nominal Range),NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.2,22,
RND01_RDLAB_TMP_WARN_HI,ThresholdRule,RND01_RDLAB,TMP,Temperature,>,Inspect and notify maintenance,WARNING,,26,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RND01_RDLAB_TMP_CRIT_HI,ThresholdRule,RND01_RDLAB,TMP,Temperature,>,Inspect and notify maintenance,CRITICAL,30,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RND01_RDLAB_HUM_CRIT_LO,ThresholdRule,RND01_RDLAB,HUM,Humidity,<,Suspend experiments; inspect HVAC system,CRITICAL,,,,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RND01_RDLAB_HUM_WARN_LO,ThresholdRule,RND01_RDLAB,HUM,Humidity,<,Suspend experiments; inspect HVAC system,WARNING,,,35,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RND01_RDLAB_HUM_NOMINAL,ThresholdRule,RND01_RDLAB,HUM,Humidity,±,N/A (Nominal Range),NOMINAL,,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,1.0,50,
RND01_RDLAB_HUM_WARN_HI,ThresholdRule,RND01_RDLAB,HUM,Humidity,>,Suspend experiments; inspect HVAC system,WARNING,,65,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RND01_RDLAB_HUM_CRIT_HI,ThresholdRule,RND01_RDLAB,HUM,Humidity,>,Suspend experiments; inspect HVAC system,CRITICAL,75,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CAF01_CAFETERIA_TMP_CRIT_LO,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,<,Inspect and notify maintenance,CRITICAL,,,,14,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CAF01_CAFETERIA_TMP_WARN_LO,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,<,Inspect and notify maintenance,WARNING,,,17,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CAF01_CAFETERIA_TMP_NOMINAL,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,±,N/A (Nominal Range),NOMINAL,,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,0.4,21,
CAF01_CAFETERIA_TMP_WARN_HI,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,>,Inspect and notify maintenance,WARNING,,26,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CAF01_CAFETERIA_TMP_CRIT_HI,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,>,Inspect and notify maintenance,CRITICAL,30,,,,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CAF01_CAFETERIA_HUM_CRIT_LO,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,<,Inspect and notify maintenance,CRITICAL,,,,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CAF01_CAFETERIA_HUM_WARN_LO,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,<,Inspect and notify maintenance,WARNING,,,35,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CAF01_CAFETERIA_HUM_NOMINAL,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,±,N/A (Nominal Range),NOMINAL,,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,1.5,55,
CAF01_CAFETERIA_HUM_WARN_HI,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,>,Inspect and notify maintenance,WARNING,,70,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
CAF01_CAFETERIA_HUM_CRIT_HI,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,>,Inspect and notify maintenance,CRITICAL,80,,,,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
ANOMALY_SPIKE,AnomalyDetectionRule,GLOBAL,ANY,ANY,reading > CRIT,Log as AnomalyEvent::Spike,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,SPIKE,">3s, <5min",,,AnomalyEvent::Spike
ANOMALY_DRIFT,AnomalyDetectionRule,GLOBAL,ANY,ANY,Slope > 0.1 s/min for 5+ readings,Log as AnomalyEvent::Drift,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,DRIFT,>15min,,,AnomalyEvent::Drift
ANOMALY_STUCK,AnomalyDetectionRule,GLOBAL,ANY,ANY,reading std(last 10) < 0.001×nominal,Log as AnomalyEvent::StuckSensor,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,STUCK,>10 consecutive readings,,,AnomalyEvent::StuckSensor
ANOMALY_OUT_OF_RANGE,AnomalyDetectionRule,GLOBAL,ANY,ANY,Sustained WARN violation >10 min OR >WARN for 20+ readings,Log as AnomalyEvent::OutOfRange,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,OUT_OF_RANGE,>10min or >20 readings,,,AnomalyEvent::OutOfRange
ANOMALY_CORRELATED,AnomalyDetectionRule,GLOBAL,ANY,ANY,Onset within 90 min of cause,Log as AnomalyEvent::Correlated,CRITICAL,,,,,,SOP_002_AlarmThresholds.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,CORRELATED,90 min,,,AnomalyEvent::Correlated
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,0.05,,,mm/s,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
MAINT-02,ThresholdRule,ST02_SEALING,CUR,Current,DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,1.0,,,A,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
MAINT-03,StateRule,ST03_LABELLING,TEN,Tension Sensor,STUCK >10 samples,Replace sensor,MEDIUM,,,10,,samples,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
MAINT-04,ThresholdRule,ST01_FILLING,PRS,Pressure,<3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,3.3,,,bar,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,>25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,,2,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,>20°C for >10 min,Emergency ventilation; notify safety,CRITICAL,20,,,,°C,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
MAINT-08,ThresholdRule,RND01_RDLAB,HUM,Humidity,DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC,HIGH,,10,,,%RH,SOP_003_MaintenanceRules.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACCESS-01,AccessControl,AccessControlSystem,AccessPoint,Biometric/IDScanner,Unauthorised role detected,"Log OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp",,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACCESS-02,AccessControl,SecuritySystem,UnauthorisedAccessEvent,EventLogger,Unauthorised access detected,Notify security personnel within 2 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACCESS-03,AccessControl,KGNode,AccessRequest,Database/AuthorizationSystem,Unauthorised access attempt,Set authorized=NO and reference RULE-ACCESS-01,,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACCESS-04,AccessControl,SafetySystem,UnauthorisedAccessEvent,EventLogger,Unauthorised access detected in Chemical Storage,Immediate escalation to Safety Officer,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-CHM01-03,ThresholdRule,ChemicalStorage,OccupancyCounter,PresenceSensor,Occupancy count exceeds threshold,Trigger CRITICAL alarm,CRITICAL,4,,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-PROD-01,ThresholdRule,ProductionArea,OccupancyCounter,PresenceSensor,Occupancy count exceeds threshold,Trigger WARNING alarm,WARNING,,10,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-PROD-02,ThresholdRule,ProductionArea,OccupancyCounter,PresenceSensor,Occupancy count exceeds threshold,Trigger CRITICAL alarm,CRITICAL,12,,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-WARE-01,ThresholdRule,GeneralWarehouse,OccupancyCounter,PresenceSensor,Occupancy count exceeds threshold,Trigger WARNING alarm,WARNING,,3,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-RDLAB-01,ThresholdRule,RDLab,OccupancyCounter,PresenceSensor,Occupancy count exceeds threshold,Trigger WARNING alarm,WARNING,,5,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-SERVER-01,ThresholdRule,ServerRoom,OccupancyCounter,PresenceSensor,Occupancy count exceeds threshold,Trigger CRITICAL alarm,CRITICAL,2,,,,persons,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-WARN-OP,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,WARNING alarm unacknowledged,Escalate to next level if not acknowledged within 15 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-CRIT-OP,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,CRITICAL alarm unacknowledged,Escalate to next level if not acknowledged within 3 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-WARN-TECH,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,WARNING alarm unacknowledged,Escalate to next level if not acknowledged within 10 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-CRIT-TECH,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,CRITICAL alarm unacknowledged,Escalate to next level if not acknowledged within 2 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-WARN-SUP,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,WARNING alarm unacknowledged,Escalate to next level if not acknowledged within 5 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-CRIT-SUP,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,CRITICAL alarm unacknowledged,Escalate to next level if not acknowledged within 1 minute,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-WARN-MGR,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,WARNING alarm unacknowledged,Escalate to next level if not acknowledged within 15 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-CRIT-MGR,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,CRITICAL alarm unacknowledged,Escalate to next level if not acknowledged within 5 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-WARN-SEC,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,WARNING alarm unacknowledged,Escalate to next level if not acknowledged within 20 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ACK-CRIT-SEC,AcknowledgmentRule,AlarmSystem,AcknowledgmentTimer,EventLogger,CRITICAL alarm unacknowledged,Escalate to next level if not acknowledged within 5 minutes,,,,,,minutes,SOP_004_PersonnelZoneAccess.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
